18	18
 -2.18 -2.05 -1.89 -1.59 -1.14 -0.80 -0.73 -0.80 -0.81 -0.39  0.05 -0.69 -0.96 -0.97 -1.27 -2.74 -2.55 -2.33
 -2.19 -2.07 -1.91 -1.64 -1.25 -0.87 -0.68 -0.71 -0.85 -0.61 -0.18 -1.00 -1.36 -1.37 -1.62 -2.75 -2.56 -2.33
 -2.04 -2.05 -1.91 -1.65 -1.28 -0.84 -0.57 -0.66 -0.99 -0.99 -0.68 -1.29 -1.40 -1.40 -1.45 -2.20 -2.06 -1.97
 -1.88 -2.04 -1.93 -1.69 -1.34 -0.92 -0.63 -0.72 -1.14 -1.36 -1.23 -1.40 -1.41 -1.41 -1.41 -1.46 -1.40 -1.56
 -2.00 -2.14 -2.00 -1.76 -1.47 -1.13 -0.83 -0.80 -1.23 -1.63 -1.62 -1.53 -1.50 -1.50 -1.51 -1.31 -1.18 -1.56
 -2.40 -2.42 -2.20 -1.83 -1.48 -1.17 -0.84 -0.74 -1.38 -1.71 -1.59 -1.47 -1.44 -1.50 -1.60 -1.52 -1.56 -2.06
 -2.48 -2.38 -2.02 -1.34 -0.72 -0.42 -0.24 -0.38 -1.45 -1.68 -1.50 -1.36 -1.33 -1.42 -1.59 -1.55 -1.56 -2.08
 -1.63 -1.20 -0.74 -0.27  0.06  0.25  0.39  0.44 -0.60 -1.63 -1.52 -1.37 -1.34 -1.45 -1.63 -1.58 -1.52 -1.69
 -0.32 -0.16 -0.05  0.17  0.46  0.81  1.13  1.32  1.24 -0.97 -1.61 -1.50 -1.47 -1.56 -1.72 -1.66 -1.50 -1.13
 -0.47 -0.44 -0.03  0.57  1.13  1.57  1.79  1.84  1.83  1.28 -1.42 -1.65 -1.64 -1.69 -1.79 -1.74 -1.22 -0.62
 -0.61 -0.53  0.04  1.05  1.71  1.99  2.06  2.05  2.01  1.93  0.40 -1.66 -1.73 -1.75 -1.78 -1.55 -0.86 -0.72
 -0.71 -0.56  0.06  1.26  1.90  2.10  2.13  2.10  2.04  1.96  1.64 -1.12 -1.69 -1.72 -1.73 -1.14 -0.92 -0.83
 -0.79 -0.66 -0.21  1.03  1.83  2.07  2.12  2.11  2.04  1.93  1.71  0.68 -0.01 -0.59 -1.09 -1.02 -0.96 -0.90
 -0.75 -0.76 -0.72  0.31  1.52  1.94  2.07  2.09  2.05  1.92  1.32  0.86  0.75  0.55  0.17 -0.85 -0.98 -0.88
 -0.29 -0.29 -0.53 -0.46  0.71  1.56  1.88  2.01  2.03  1.77  0.91  0.71  0.46  0.05 -0.38 -0.71 -0.96 -0.60
 -1.00 -0.54 -0.43 -0.73 -0.74 -0.19  0.38  0.78  1.10  1.05  0.66  0.34 -0.10 -0.49 -0.73 -0.92 -1.38 -1.33
 -1.76 -1.71 -1.53 -1.30 -0.95 -0.79 -0.93 -1.12 -1.16 -0.25  0.20 -0.24 -0.59 -0.77 -0.86 -1.24 -1.66 -1.69
 -2.01 -1.99 -1.86 -1.51 -0.95 -0.66 -0.75 -0.96 -1.03 -0.56 -0.24 -0.66 -0.81 -0.87 -0.92 -2.05 -2.11 -2.01
