18	18
  0.58  0.62  0.63  0.59  0.51  0.40  0.28  0.18  0.10  0.05  0.00 -0.13 -0.19 -0.13  0.07  0.29  0.41  0.51 
  0.62  0.65  0.65  0.61  0.52  0.40  0.27  0.15  0.07  0.01 -0.01 -0.02 -0.02  0.05  0.18  0.33  0.46  0.55 
  0.62  0.65  0.65  0.61  0.52  0.39  0.25  0.13  0.03 -0.03 -0.08 -0.13 -0.11 -0.02  0.11  0.30  0.46  0.56 
  0.59  0.63  0.63  0.59  0.51  0.38  0.24  0.11  0.00 -0.09 -0.24 -0.38 -0.33 -0.24 -0.09  0.17  0.40  0.52 
  0.54  0.58  0.59  0.56  0.48  0.36  0.22  0.09 -0.03 -0.22 -0.52 -0.61 -0.55 -0.49 -0.41 -0.14  0.25  0.45 
  0.46  0.51  0.52  0.49  0.41  0.31  0.19  0.06 -0.11 -0.45 -0.70 -0.69 -0.65 -0.64 -0.64 -0.55 -0.04  0.32 
  0.35  0.39  0.38  0.34  0.26  0.17  0.08 -0.03 -0.23 -0.59 -0.70 -0.67 -0.66 -0.67 -0.72 -0.78 -0.41  0.15 
  0.24  0.27  0.22  0.14  0.05 -0.03 -0.11 -0.17 -0.28 -0.53 -0.64 -0.64 -0.65 -0.67 -0.72 -0.82 -0.61  0.01 
  0.18  0.19  0.12  0.02 -0.08 -0.16 -0.22 -0.27 -0.31 -0.42 -0.58 -0.62 -0.64 -0.66 -0.70 -0.75 -0.54 -0.01 
  0.14  0.13  0.06 -0.06 -0.16 -0.24 -0.29 -0.32 -0.35 -0.38 -0.51 -0.61 -0.63 -0.65 -0.66 -0.65 -0.34  0.04 
  0.11  0.09 -0.01 -0.13 -0.22 -0.29 -0.33 -0.35 -0.37 -0.39 -0.45 -0.59 -0.62 -0.61 -0.60 -0.52 -0.16  0.06 
  0.08  0.05 -0.05 -0.18 -0.26 -0.32 -0.35 -0.37 -0.39 -0.40 -0.43 -0.54 -0.57 -0.55 -0.51 -0.39 -0.06  0.06 
  0.08  0.04 -0.07 -0.20 -0.28 -0.33 -0.37 -0.39 -0.40 -0.41 -0.43 -0.49 -0.49 -0.45 -0.42 -0.30 -0.01  0.07 
  0.11  0.07 -0.04 -0.18 -0.28 -0.33 -0.37 -0.39 -0.40 -0.41 -0.43 -0.47 -0.44 -0.39 -0.35 -0.25  0.03  0.11 
  0.17  0.15  0.07 -0.07 -0.21 -0.30 -0.35 -0.38 -0.39 -0.40 -0.42 -0.45 -0.43 -0.38 -0.34 -0.23  0.06  0.15 
  0.28  0.32  0.32  0.23  0.08 -0.08 -0.20 -0.28 -0.32 -0.35 -0.40 -0.43 -0.41 -0.38 -0.35 -0.18  0.13  0.22 
  0.40  0.47  0.50  0.47  0.39  0.28  0.17  0.07 -0.02 -0.16 -0.33 -0.37 -0.37 -0.35 -0.30 -0.01  0.24  0.33 
  0.51  0.57  0.58  0.56  0.48  0.38  0.28  0.19  0.11  0.03 -0.15 -0.29 -0.31 -0.29 -0.15  0.18  0.34  0.43 
